country,indicator,series_name,year,value,dataflow,publication_date
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",1986,235.9824371,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",1987,230.6519165,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",1988,240.5419464,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",1989,249.6825409,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",1990,249.6825409,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",1991,255.5309448,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",1992,257.3196716,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",1993,253.2025604,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",1994,258.2666016,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",1995,263.6907654,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",1996,271.2380676,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",1997,283.4008789,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",1998,294.4391174,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",1999,303.4859314,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2000,315.3819275,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2001,328.412323,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2002,341.2955017,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2003,361.072052,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2004,379.3457336,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2005,381.6185913,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2006,403.1893005,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2007,416.3887024,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2008,414.9931946,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2009,397.1454468,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2010,375.3856201,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2011,337.2865906,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2012,313.3986816,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2013,304.8060913,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2014,306.9340515,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2015,305.6698608,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2016,304.1724854,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2017,308.0682983,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2018,312.8710938,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_Q_PU_RY2017,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) international dollar, ICP benchmark 2017",2019,318.6801453,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1960,0.381115884,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1961,0.436167747,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1962,0.458290607,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1963,0.518266976,IMF.FAD:ICSD(1.0.0),2025-07-01
